Date,ACME Price,BigBank Price
2000-02-25 00:00:00,372.645,92.301
2000-03-03 00:00:00,380.903,93.211
2000-03-10 00:00:00,381.935,91.847
2000-03-17 00:00:00,334.452,98.212
2000-03-24 00:00:00,323.097,92.301
2000-03-31 00:00:00,328.258,89.573
2000-04-07 00:00:00,324.645,93.665
2000-04-14 00:00:00,326.71,100.94
2000-04-21 00:00:00,321.032,89.119
2000-04-28 00:00:00,342.71,84.572
2000-05-05 00:00:00,363.871,73.205
2000-05-12 00:00:00,364.903,80.025
2000-05-19 00:00:00,362.323,85.481
2000-05-26 00:00:00,358.194,86.845
2000-06-02 00:00:00,361.806,96.848
2000-06-09 00:00:00,372.645,86.39
2000-06-16 00:00:00,405.677,86.39
2000-06-23 00:00:00,427.355,83.208
2000-06-30 00:00:00,411.871,85.936
2000-07-07 00:00:00,410.323,81.844
2000-07-14 00:00:00,405.161,88.209
2000-07-21 00:00:00,434.581,90.483
2000-07-28 00:00:00,443.871,93.665
2000-08-04 00:00:00,452.645,91.847
2000-08-11 00:00:00,445.935,93.211
2000-08-18 00:00:00,434.581,96.848
2000-08-25 00:00:00,457.806,108.215
2000-09-01 00:00:00,460.387,123.22
2000-09-08 00:00:00,459.871,125.493
2000-09-15 00:00:00,465.032,119.128
2000-09-22 00:00:00,440.258,97.303
2000-09-29 00:00:00,444.387,99.122
2000-10-06 00:00:00,394.323,109.125
2000-10-13 00:00:00,371.097,107.306
2000-10-20 00:00:00,373.677,105.487
2000-10-27 00:00:00,371.613,108.67
2000-11-03 00:00:00,382.452,107.306
2000-11-10 00:00:00,392.774,113.672
2000-11-17 00:00:00,397.419,114.581
2000-11-24 00:00:00,397.935,113.672
2000-12-01 00:00:00,401.032,119.583
2000-12-08 00:00:00,403.097,121.401
2000-12-15 00:00:00,391.226,116.854
2000-12-22 00:00:00,401.032,111.853
2000-12-29 00:00:00,425.29,110.489
2001-01-05 00:00:00,445.419,110.489
2001-01-12 00:00:00,410.323,115.945
2001-01-19 00:00:00,410.839,114.581
2001-01-26 00:00:00,428.387,106.851
2001-02-02 00:00:00,430.452,112.308
2001-02-09 00:00:00,444.387,113.672
2001-02-16 00:00:00,440.774,114.581
2001-02-23 00:00:00,449.548,116.4
2001-03-02 00:00:00,458.323,115.945
2001-03-09 00:00:00,482.581,116.854
2001-03-16 00:00:00,458.839,100.94
2001-03-23 00:00:00,452.129,89.573
2001-03-30 00:00:00,450.581,91.847
2001-04-06 00:00:00,397.419,95.939
2001-04-13 00:00:00,441.29,95.029
2001-04-20 00:00:00,480.516,97.303
2001-04-27 00:00:00,475.871,95.029
2001-05-04 00:00:00,482.065,101.395
2001-05-11 00:00:00,488.774,101.395
2001-05-18 00:00:00,508.387,108.215
2001-05-25 00:00:00,536.774,108.215
2001-06-01 00:00:00,517.161,107.306
2001-06-08 00:00:00,513.548,118.673
2001-06-15 00:00:00,496.516,107.306
2001-06-22 00:00:00,502.194,96.394
2001-06-29 00:00:00,485.161,95.939
2001-07-06 00:00:00,458.581,92.301
2001-07-13 00:00:00,459.355,86.39
2001-07-20 00:00:00,443.871,97.758
2001-07-27 00:00:00,445.935,86.39
2001-08-03 00:00:00,490.323,93.211
2001-08-10 00:00:00,519.226,92.756
2001-08-17 00:00:00,487.742,103.214
2001-08-24 00:00:00,446.968,102.759
2001-08-31 00:00:00,451.097,96.848
2001-09-07 00:00:00,412.387,85.026
2001-09-14 00:00:00,416.516,80.934
2001-09-21 00:00:00,368.516,56.836
2001-09-28 00:00:00,428.387,68.658
2001-10-05 00:00:00,384,68.203
2001-10-12 00:00:00,436.645,72.75
2001-10-19 00:00:00,366.71,64.565
2001-10-26 00:00:00,340.645,71.386
2001-11-02 00:00:00,384,70.022
2001-11-09 00:00:00,404.645,76.842
2001-11-16 00:00:00,412.903,74.569
2001-11-23 00:00:00,392.258,75.933
2001-11-30 00:00:00,367.484,73.659
2001-12-07 00:00:00,413.419,73.205
2001-12-14 00:00:00,361.29,69.567
2001-12-21 00:00:00,357.161,73.205
2001-12-28 00:00:00,371.871,72.295
2002-01-04 00:00:00,364.903,75.933
2002-01-11 00:00:00,349.419,73.659
2002-01-18 00:00:00,328.258,47.287
2002-01-25 00:00:00,325.161,47.515
2002-02-01 00:00:00,305.548,45.469
2002-02-08 00:00:00,309.677,44.105
2002-02-15 00:00:00,310.194,40.467
2002-02-22 00:00:00,297.29,37.284
2002-03-01 00:00:00,295.742,36.83
2002-03-08 00:00:00,289.032,41.831
2002-03-15 00:00:00,294.194,43.195
2002-03-22 00:00:00,299.355,40.922
2002-03-29 00:00:00,301.419,31.146
2002-04-05 00:00:00,334.452,28.645
2002-04-12 00:00:00,341.677,30.919
2002-04-19 00:00:00,335.484,36.375
2002-04-26 00:00:00,339.613,35.011
2002-05-03 00:00:00,325.161,38.194
2002-05-10 00:00:00,314.323,40.922
2002-05-17 00:00:00,302.968,43.65
2002-05-24 00:00:00,295.226,47.287
2002-05-31 00:00:00,305.29,47.742
2002-06-07 00:00:00,301.419,47.287
2002-06-14 00:00:00,274.581,43.195
2002-06-21 00:00:00,248.516,42.286
2002-06-28 00:00:00,186.839,39.558
2002-07-05 00:00:00,159.484,35.466
2002-07-12 00:00:00,170.581,41.376
2002-07-19 00:00:00,170.323,44.559
2002-07-26 00:00:00,163.871,43.65
2002-08-02 00:00:00,152,45.014
2002-08-09 00:00:00,145.032,42.286
2002-08-16 00:00:00,143.484,35.466
2002-08-23 00:00:00,159.742,35.011
2002-08-30 00:00:00,152.774,32.965
2002-09-06 00:00:00,148.129,28.191
2002-09-13 00:00:00,139.355,28.191
2002-09-20 00:00:00,139.355,29.555
2002-09-27 00:00:00,134.194,28.645
2002-10-04 00:00:00,122.839,28.645
2002-10-11 00:00:00,114.581,26.826
2002-10-18 00:00:00,130.065,26.372
2002-10-25 00:00:00,117.419,24.098
2002-11-01 00:00:00,129.032,22.734
2002-11-08 00:00:00,125.419,24.326
2002-11-15 00:00:00,125.935,24.326
2002-11-22 00:00:00,137.29,26.599
2002-11-29 00:00:00,151.742,28.191
2002-12-06 00:00:00,141.677,26.372
2002-12-13 00:00:00,139.355,22.052
2002-12-20 00:00:00,144.516,21.37
2002-12-27 00:00:00,148.903,22.507
2003-01-03 00:00:00,154.839,21.825
2003-01-10 00:00:00,151.742,25.235
2003-01-17 00:00:00,144.516,26.144
2003-01-24 00:00:00,139.355,27.963
2003-01-31 00:00:00,142.968,29.1
2003-02-07 00:00:00,135.226,29.1
2003-02-14 00:00:00,144.258,27.281
2003-02-21 00:00:00,142.71,27.736
2003-02-28 00:00:00,138.065,26.599
2003-03-07 00:00:00,132.129,25.917
2003-03-14 00:00:00,129.032,4.32
2003-03-21 00:00:00,140.645,7.502
2003-03-28 00:00:00,144.516,6.593
2003-04-04 00:00:00,146.581,7.275
2003-04-11 00:00:00,144.516,6.82
2003-04-18 00:00:00,149.419,6.82
2003-04-25 00:00:00,156.903,7.048
2003-05-02 00:00:00,178.581,7.048
2003-05-09 00:00:00,167.226,10.23
2003-05-16 00:00:00,156.903,10.23
2003-05-23 00:00:00,157.935,11.595
2003-05-30 00:00:00,165.935,14.777
2003-06-06 00:00:00,179.871,12.959
2003-06-13 00:00:00,160,14.777
2003-06-20 00:00:00,135.742,13.641
2003-06-27 00:00:00,134.194,12.959
2003-07-04 00:00:00,129.548,13.186
2003-07-11 00:00:00,132.645,14.323
2003-07-18 00:00:00,144.516,11.595
2003-07-25 00:00:00,146.581,11.367
2003-08-01 00:00:00,148.645,12.731
2003-08-08 00:00:00,140.645,12.959
2003-08-15 00:00:00,162.065,13.186
2003-08-22 00:00:00,155.355,13.186
2003-08-29 00:00:00,161.032,12.731
2003-09-05 00:00:00,165.161,15.232
2003-09-12 00:00:00,171.871,15.459
2003-09-19 00:00:00,173.419,18.187
2003-09-26 00:00:00,166.194,13.641
2003-10-03 00:00:00,167.742,14.323
2003-10-10 00:00:00,167.484,13.868
2003-10-17 00:00:00,170.839,15.005
2003-10-24 00:00:00,162.065,14.323
2003-10-31 00:00:00,163.097,14.095
2003-11-07 00:00:00,158.968,15.687
2003-11-14 00:00:00,158.968,15.459
2003-11-21 00:00:00,146.323,14.095
2003-11-28 00:00:00,144,14.777
2003-12-05 00:00:00,150.71,15.232
2003-12-12 00:00:00,144,14.55
2003-12-19 00:00:00,158.71,13.868
2003-12-26 00:00:00,164.645,13.868
2004-01-02 00:00:00,159.226,14.323
2004-01-09 00:00:00,158.194,15.005
2004-01-16 00:00:00,154.839,15.459
2004-01-23 00:00:00,153.29,18.187
2004-01-30 00:00:00,154.839,23.871
2004-02-06 00:00:00,154.839,30.464
2004-02-13 00:00:00,157.935,29.327
2004-02-20 00:00:00,161.29,30.464
2004-02-27 00:00:00,158.968,29.1
2004-03-05 00:00:00,169.548,27.054
2004-03-12 00:00:00,155.871,27.509
2004-03-19 00:00:00,161.548,29.327
2004-03-26 00:00:00,156.645,27.054
2004-04-02 00:00:00,159.484,22.734
2004-04-09 00:00:00,157.419,22.507
2004-04-16 00:00:00,161.548,24.78
2004-04-23 00:00:00,164.645,29.1
2004-04-30 00:00:00,165.935,27.054
2004-05-07 00:00:00,165.161,26.826
2004-05-14 00:00:00,160,24.326
2004-05-21 00:00:00,154.065,22.507
2004-05-28 00:00:00,154.581,22.28
2004-06-04 00:00:00,158.452,21.825
2004-06-11 00:00:00,157.935,22.962
2004-06-18 00:00:00,166.194,23.644
2004-06-25 00:00:00,171.097,23.416
2004-07-02 00:00:00,163.871,25.008
2004-07-09 00:00:00,169.032,35.238
2004-07-16 00:00:00,165.935,39.103
2004-07-23 00:00:00,164.129,37.284
2004-07-30 00:00:00,159.742,42.513
2004-08-06 00:00:00,154.323,40.694
2004-08-13 00:00:00,153.032,40.012
2004-08-20 00:00:00,154.839,44.105
2004-08-27 00:00:00,157.419,43.65
2004-09-03 00:00:00,157.677,47.515
2004-09-10 00:00:00,158.71,48.197
2004-09-17 00:00:00,154.839,54.79
2004-09-24 00:00:00,150.71,48.879
2004-10-01 00:00:00,150.71,49.788
2004-10-08 00:00:00,156.129,52.062
2004-10-15 00:00:00,152.516,55.017
2004-10-22 00:00:00,150.71,62.292
2004-10-29 00:00:00,154.839,61.61
2004-11-05 00:00:00,155.097,64.111
2004-11-12 00:00:00,160,67.294
2004-11-19 00:00:00,165.161,72.522
2004-11-26 00:00:00,160,72.295
2004-12-03 00:00:00,160,75.251
2004-12-10 00:00:00,160,75.251
2004-12-17 00:00:00,155.871,70.476
2004-12-24 00:00:00,156.903,70.022
2004-12-31 00:00:00,173.419,70.249
2005-01-07 00:00:00,168.774,75.933
2005-01-14 00:00:00,167.484,75.251
2005-01-21 00:00:00,162.065,75.251
2005-01-28 00:00:00,160,75.023
2005-02-04 00:00:00,167.226,73.887
2005-02-11 00:00:00,169.548,75.478
2005-02-18 00:00:00,167.226,75.933
2005-02-25 00:00:00,163.871,83.208
2005-03-04 00:00:00,177.806,87.072
2005-03-11 00:00:00,179.097,85.026
2005-03-18 00:00:00,181.161,94.802
2005-03-25 00:00:00,181.419,89.801
2005-04-01 00:00:00,183.226,93.211
2005-04-08 00:00:00,208.516,95.484
2005-04-15 00:00:00,194.065,93.893
2005-04-22 00:00:00,190.968,90.483
2005-04-29 00:00:00,188.129,78.888
2005-05-06 00:00:00,191.226,84.344
2005-05-13 00:00:00,194.065,79.57
2005-05-20 00:00:00,199.742,81.844
2005-05-27 00:00:00,200.258,81.844
2005-06-03 00:00:00,192.516,86.39
2005-06-10 00:00:00,192,84.799
2005-06-17 00:00:00,193.032,90.255
2005-06-24 00:00:00,194.323,96.394
2005-07-01 00:00:00,200.774,96.394
2005-07-08 00:00:00,202.323,95.471
2005-07-15 00:00:00,205.161,99.391
2005-07-22 00:00:00,209.548,97.316
2005-07-29 00:00:00,213.161,97.085
2005-08-05 00:00:00,209.806,105.848
2005-08-12 00:00:00,219.097,104.695
2005-08-19 00:00:00,214.452,105.618
2005-08-26 00:00:00,214.968,109.769
2005-09-02 00:00:00,225.548,123.836
2005-09-09 00:00:00,228.129,117.609
2005-09-16 00:00:00,241.032,124.989
2005-09-23 00:00:00,244.387,130.062
2005-09-30 00:00:00,241.548,127.756
2005-10-07 00:00:00,241.548,123.605
2005-10-14 00:00:00,245.935,122.913
2005-10-21 00:00:00,229.677,120.377
2005-10-28 00:00:00,236.645,127.064
2005-11-04 00:00:00,256.258,141.131
2005-11-11 00:00:00,258.065,142.745
2005-11-18 00:00:00,258.065,150.355
2005-11-25 00:00:00,257.548,151.278
2005-12-02 00:00:00,269.935,155.198
2005-12-09 00:00:00,275.871,154.506
2005-12-16 00:00:00,274.839,166.037
2005-12-23 00:00:00,278.71,164.653
2005-12-30 00:00:00,280,167.882
2006-01-06 00:00:00,289.032,172.724
2006-01-13 00:00:00,280.774,166.498
2006-01-20 00:00:00,290.839,163.731
2006-01-27 00:00:00,293.935,174.8
2006-02-03 00:00:00,296.258,189.097
2006-02-10 00:00:00,310.452,190.481
2006-02-17 00:00:00,317.677,193.709
2006-02-24 00:00:00,313.29,197.86
2006-03-03 00:00:00,299.355,200.397
2006-03-10 00:00:00,307.613,196.246
2006-03-17 00:00:00,331.613,204.779
2006-03-24 00:00:00,331.613,202.703
2006-03-31 00:00:00,326.452,205.701
2006-04-07 00:00:00,323.097,215.156
2006-04-14 00:00:00,315.355,205.932
2006-04-21 00:00:00,320.516,215.386
2006-04-28 00:00:00,316.645,216.77
2006-05-05 00:00:00,320,222.074
2006-05-12 00:00:00,306.581,212.85
2006-05-19 00:00:00,274.323,193.018
2006-05-26 00:00:00,283.871,184.485
2006-06-02 00:00:00,273.032,182.64
2006-06-09 00:00:00,258.581,160.272
2006-06-16 00:00:00,273.806,157.043
2006-06-23 00:00:00,288,162.347
2006-06-30 00:00:00,296.516,154.506
2006-07-07 00:00:00,291.613,150.355
2006-07-14 00:00:00,274.839,145.051
2006-07-21 00:00:00,266.839,137.441
2006-07-28 00:00:00,291.097,125.45
2006-08-04 00:00:00,292.387,128.909
2006-08-11 00:00:00,280.774,115
2006-08-18 00:00:00,285.419,127.25
2006-08-25 00:00:00,287.226,127.5
2006-09-01 00:00:00,291.097,130.5
2006-09-08 00:00:00,283.871,136.5
2006-09-15 00:00:00,312.774,142.25
2006-09-22 00:00:00,332.903,138.5
2006-09-29 00:00:00,345.806,143.5
2006-10-06 00:00:00,353.032,146.25
2006-10-13 00:00:00,364.645,157
2006-10-20 00:00:00,366.71,145.75
2006-10-27 00:00:00,365.419,141.25
2006-11-03 00:00:00,369.548,141.5
2006-11-10 00:00:00,385.548,138.5
2006-11-17 00:00:00,408.516,144
